TEAM_ID,GAME_ID,TEAM_MIN,TEAM_FGM,TEAM_FGA,TEAM_FG_PCT,TEAM_FG3M,TEAM_FG3A,TEAM_FG3_PCT,TEAM_FTM,TEAM_FTA,TEAM_FT_PCT,TEAM_OREB,TEAM_DREB,TEAM_REB,TEAM_AST,TEAM_STL,TEAM_BLK,TEAM_TOV,TEAM_PF,TEAM_PTS,OPP_DEF_RATING,OPP_STL,OPP_BLK,OPP_REB,OPP_TEAM_ID,TEAM_OFF_RATING,TEAM_PACE,GAME_PACE,OPP_PACE
1610612737,0021900629,240,40,93,0.43,10,34,0.294,13,15,0.867,10,22,32,18,9,6,19,20,103,94.84346224677716,12.0,8.0,41.0,1610612765,94.84346224677716,108.59999999999998,105.8,103.0
1610612737,0021900624,240,41,82,0.5,19,40,0.475,20,27,0.741,8,35,43,21,10,6,19,18,121,115.36994660564454,12.0,6.0,48.0,1610612759,115.36994660564454,104.88,107.0,109.12
1610612737,0021900598,240,46,93,0.495,14,31,0.452,17,20,0.85,12,34,46,25,3,10,15,25,123,117.36641221374046,9.0,6.0,40.0,1610612756,117.36641221374046,104.8,103.44,102.08
1610612737,0021900586,240,32,97,0.33,12,48,0.25,10,11,0.909,4,29,33,23,16,4,12,23,86,78.29570284049527,8.0,2.0,62.0,1610612751,78.29570284049527,109.83999999999999,108.30000000000001,106.76
1610612737,0021900567,240,41,89,0.461,7,29,0.241,12,24,0.5,9,47,56,19,5,9,18,26,101,93.03610906411201,11.0,1.0,57.0,1610612764,93.03610906411201,108.56,111.44,114.32
1610612737,0021900558,240,39,106,0.368,13,44,0.295,24,27,0.889,16,38,54,20,6,8,11,29,115,101.8781006378455,7.0,7.0,59.0,1610612745,101.8781006378455,112.88,109.96,107.04
1610612737,0021900543,240,35,77,0.455,18,39,0.462,27,32,0.844,4,30,34,24,3,5,10,22,115,118.4590028842192,4.0,6.0,41.0,1610612743,118.4590028842192,97.08,98.97999999999998,100.88
1610612737,0021900526,240,42,82,0.512,10,32,0.313,22,24,0.917,4,36,40,22,8,4,13,28,116,114.21819614021267,8.0,4.0,39.0,1610612754,114.21819614021267,101.56,100.98,100.40000000000002
1610612737,0021900517,240,39,93,0.419,16,45,0.356,12,15,0.8,6,36,42,26,6,5,14,24,106,98.51301115241637,9.0,7.0,54.0,1610612738,98.51301115241637,107.59999999999998,106.68,105.76
1610612737,0021900491,240,39,81,0.481,9,29,0.31,14,17,0.824,11,41,52,21,8,4,20,20,101,103.61099712761592,9.0,6.0,40.0,1610612753,103.61099712761592,97.48,97.52000000000002,97.56
1610612737,0021900477,240,32,86,0.372,9,34,0.265,8,11,0.727,9,30,39,24,8,5,19,16,81,80.32526775089251,13.0,5.0,51.0,1610612741,80.32526775089251,100.83999999999999,100.09999999999998,99.36
1610612737,0021900469,240,33,91,0.363,12,41,0.293,8,14,0.571,8,38,46,20,10,8,18,18,86,80.25382605449795,9.0,8.0,56.0,1610612749,80.25382605449795,107.16000000000001,107.94,108.71999999999998
1610612737,0021900444,240,45,95,0.474,15,42,0.357,13,17,0.765,5,32,37,23,11,7,16,20,118,103.98308071906943,8.0,6.0,43.0,1610612739,103.98308071906943,113.48,115.38,117.28000000000002
1610612737,0021900431,240,39,105,0.371,11,48,0.229,23,27,0.852,14,38,52,17,7,5,10,22,112,99.22041105598866,8.0,4.0,61.0,1610612751,99.22041105598866,112.88,114.09999999999998,115.32
1610612737,0021900416,240,39,90,0.433,11,29,0.379,17,19,0.895,6,34,40,24,8,1,16,27,106,97.82207456626061,8.0,6.0,53.0,1610612762,97.82207456626061,108.36,106.54,104.71999999999998
1610612737,0021900403,240,45,99,0.455,15,43,0.349,15,20,0.75,9,27,36,20,7,3,10,21,120,110.29411764705883,7.0,6.0,55.0,1610612752,110.29411764705883,108.8,107.71999999999998,106.64
1610612737,0021900390,240,31,86,0.36,12,42,0.286,22,25,0.88,8,34,42,18,8,5,19,27,96,88.88888888888889,14.0,9.0,56.0,1610612747,88.88888888888889,108.0,107.75999999999999,107.52
1610612737,0021900373,240,39,94,0.415,6,28,0.214,16,23,0.696,12,38,50,24,6,4,15,20,100,93.35324869305451,7.0,0.0,46.0,1610612754,93.35324869305451,107.12,106.86,106.59999999999998
1610612737,0021900361,240,35,83,0.422,13,38,0.342,19,26,0.731,10,31,41,26,7,5,23,20,102,94.9367088607595,15.0,7.0,42.0,1610612741,94.9367088607595,107.44,107.90000000000002,108.36
1610612737,0021900354,265,45,95,0.474,20,54,0.37,11,18,0.611,4,33,37,30,4,6,11,23,121,110.08005822416303,5.0,3.0,53.0,1610612748,110.08005822416303,109.92,112.30000000000001,114.68
1610612737,0021900336,240,44,91,0.484,18,45,0.4,16,17,0.941,11,37,48,28,8,8,13,24,122,121.4171974522293,8.0,3.0,44.0,1610612766,121.4171974522293,100.48,100.62,100.76
1610612737,0021900309,240,48,90,0.533,9,26,0.346,13,21,0.619,9,26,35,24,8,9,16,19,118,111.06927710843375,8.0,6.0,53.0,1610612751,111.06927710843375,106.24,106.08,105.92
1610612737,0021900295,240,41,89,0.461,8,29,0.276,14,15,0.933,11,27,38,21,13,4,14,12,104,105.4766734279919,11.0,8.0,46.0,1610612744,105.4766734279919,98.59999999999998,95.94,93.28000000000002
1610612737,0021900282,240,38,89,0.427,15,46,0.326,20,25,0.8,8,21,29,26,5,2,13,23,111,105.71428571428572,9.0,2.0,52.0,1610612745,105.71428571428572,105.0,105.48,105.96
1610612737,0021900272,265,39,90,0.433,9,32,0.281,17,18,0.944,10,38,48,14,10,3,24,27,104,92.92351679771265,12.0,6.0,42.0,1610612754,92.92351679771265,111.92,111.12,110.32
1610612737,0021900261,240,38,94,0.404,11,34,0.324,15,22,0.682,14,35,49,22,4,5,17,25,102,95.61304836895388,6.0,11.0,47.0,1610612749,95.61304836895388,106.68,105.28000000000002,103.88
1610612737,0021900243,240,41,94,0.436,10,32,0.313,21,26,0.808,9,33,42,26,6,4,17,25,113,99.61212976022567,10.0,6.0,47.0,1610612750,99.61212976022567,113.44,109.14,104.83999999999999
1610612737,0021900228,240,47,90,0.522,14,34,0.412,8,11,0.727,8,30,38,32,9,7,15,27,116,113.9041633935585,5.0,5.0,42.0,1610612761,113.9041633935585,101.83999999999999,103.02000000000002,104.2
