Unnamed: 0,Team_ID,Game_ID,GAME_DATE,MATCHUP,WL,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,TEAM_PACE,GAME_PACE,OPP_DRTG,OPP_STL,OPP_BLK,OPP_REB,OPP_PACE,TEAM_OFF_RATING
20,1610612737,22100710,"MAR 03, 2022",ATL vs. CHI,W,30,32,0.484,240,44,84,0.524,18,40,0.45,24,28,0.857,8,25,33,26,7,3,5,15,130,93.32,96.2,139.3056150878697,5.0,2.0,32.0,99.08,139.3056150878697
21,1610612737,22100927,"MAR 01, 2022",ATL @ BOS,L,29,32,0.475,240,36,83,0.434,7,31,0.226,19,24,0.792,5,32,37,15,8,4,9,20,98,97.56,94.96,100.4510045100451,4.0,8.0,47.0,92.36,100.4510045100451
22,1610612737,22100906,"FEB 26, 2022",ATL vs. TOR,W,29,31,0.483,240,48,83,0.578,13,31,0.419,18,22,0.818,5,40,45,27,8,8,12,19,127,99.68,101.52000000000002,127.40770465489564,5.0,2.0,42.0,103.36,127.40770465489565
23,1610612737,22100891,"FEB 24, 2022",ATL @ CHI,L,28,31,0.475,240,41,97,0.423,8,28,0.286,18,27,0.667,13,32,45,20,2,3,9,18,108,104.88,101.38,102.97482837528604,5.0,8.0,43.0,97.88,102.97482837528604
24,1610612737,22100874,"FEB 16, 2022",ATL @ ORL,W,28,30,0.483,240,45,90,0.5,18,33,0.545,22,28,0.786,13,34,47,23,7,6,11,20,130,100.32,102.52,129.58532695374802,3.0,5.0,45.0,104.71999999999998,129.58532695374802
25,1610612737,22100867,"FEB 15, 2022",ATL vs. CLE,W,27,30,0.474,240,43,80,0.538,14,33,0.424,24,27,0.889,7,28,35,25,9,4,11,18,124,95.88,94.08,129.32832707551103,8.0,3.0,39.0,92.28000000000002,129.32832707551105
26,1610612737,22100856,"FEB 13, 2022",ATL @ BOS,L,26,30,0.464,240,34,93,0.366,12,38,0.316,15,15,1.0,11,37,48,18,6,3,13,22,95,101.59999999999998,99.24,93.503937007874,5.0,6.0,54.0,96.88,93.50393700787401
27,1610612737,22100841,"FEB 11, 2022",ATL vs. SAS,L,26,29,0.473,240,47,103,0.456,14,43,0.326,13,15,0.867,17,32,49,28,10,5,14,18,121,106.59999999999998,107.42,113.50844277673546,11.0,4.0,41.0,108.24,113.50844277673546
28,1610612737,22100816,"FEB 08, 2022",ATL vs. IND,W,26,28,0.481,240,52,90,0.578,17,33,0.515,12,16,0.75,10,33,43,36,8,7,14,26,133,101.04,101.78000000000002,131.63103721298495,10.0,4.0,43.0,102.52,131.63103721298495
29,1610612737,22100807,"FEB 06, 2022",ATL @ DAL,L,25,28,0.472,240,37,95,0.389,5,25,0.2,15,16,0.938,15,35,50,21,7,4,12,18,94,99.04,97.38,94.91114701130856,8.0,5.0,48.0,95.71999999999998,94.91114701130856
30,1610612737,22100790,"FEB 04, 2022",ATL @ TOR,L,25,27,0.481,240,43,93,0.462,9,29,0.31,19,21,0.905,13,27,40,27,12,4,9,16,114,98.24,96.58,116.04234527687296,7.0,4.0,45.0,94.92,116.04234527687296
31,1610612737,22100783,"FEB 03, 2022",ATL vs. PHX,W,25,26,0.49,240,44,84,0.524,20,40,0.5,16,22,0.727,6,35,41,25,6,1,15,21,124,102.68,101.3,120.76353720296063,11.0,2.0,39.0,99.92,120.76353720296065
32,1610612737,22100767,"JAN 31, 2022",ATL vs. TOR,L,24,26,0.48,240,37,81,0.457,12,32,0.375,14,16,0.875,5,41,46,28,6,5,15,20,100,98.04,98.26,101.99918400652794,7.0,8.0,43.0,98.48,101.99918400652794
33,1610612737,22100751,"JAN 30, 2022",ATL vs. LAL,W,24,25,0.49,240,49,84,0.583,10,31,0.323,21,32,0.656,8,37,45,31,7,0,12,21,129,102.08,102.59999999999998,126.37147335423198,5.0,2.0,38.0,103.12,126.37147335423198
34,1610612737,22100737,"JAN 28, 2022",ATL vs. BOS,W,23,25,0.479,240,41,89,0.461,12,31,0.387,14,20,0.7,9,34,43,19,10,11,11,21,108,99.8,98.84,108.21643286573146,5.0,8.0,52.0,97.88,108.21643286573146
35,1610612737,22100725,"JAN 26, 2022",ATL vs. SAC,W,22,25,0.468,240,48,90,0.533,12,36,0.333,13,17,0.765,6,42,48,29,9,2,8,18,121,99.48,101.42,121.632488942501,6.0,3.0,42.0,103.36,121.632488942501
36,1610612737,22100703,"JAN 23, 2022",ATL @ CHA,W,21,25,0.457,240,40,88,0.455,15,39,0.385,18,24,0.75,7,38,45,25,12,6,10,22,113,101.56,102.71999999999998,111.26427727451753,6.0,6.0,54.0,103.88,111.26427727451753
37,1610612737,22100687,"JAN 21, 2022",ATL vs. MIA,W,20,25,0.444,240,38,68,0.559,14,33,0.424,20,24,0.833,6,30,36,26,3,1,16,17,110,88.56,91.42,124.20957542908762,8.0,1.0,33.0,94.28000000000002,124.20957542908762
38,1610612737,22100670,"JAN 19, 2022",ATL vs. MIN,W,19,25,0.432,240,45,86,0.523,15,38,0.395,29,33,0.879,8,31,39,34,7,9,11,23,134,103.52,105.14,129.4435857805255,10.0,3.0,45.0,106.76,129.4435857805255
39,1610612737,22100660,"JAN 17, 2022",ATL vs. MIL,W,18,25,0.419,240,38,86,0.442,15,36,0.417,30,32,0.938,10,36,46,25,7,8,13,18,121,103.08,102.82,117.38455568490494,8.0,4.0,42.0,102.56,117.38455568490494
40,1610612737,22100643,"JAN 15, 2022",ATL vs. NYK,L,17,25,0.405,240,40,80,0.5,16,44,0.364,12,17,0.706,4,27,31,23,5,5,9,20,108,92.48,91.96,116.78200692041524,2.0,0.0,44.0,91.44,116.78200692041523
41,1610612737,22100636,"JAN 14, 2022",ATL @ MIA,L,17,24,0.415,240,38,79,0.481,16,38,0.421,26,30,0.867,9,25,34,26,6,6,15,27,118,98.2,97.2,120.16293279022403,6.0,5.0,37.0,96.2,120.16293279022403
42,1610612737,22100621,"JAN 12, 2022",ATL vs. MIA,L,17,23,0.425,240,31,82,0.378,13,45,0.289,16,23,0.696,6,31,37,20,8,3,14,15,91,100.12,100.14,90.89093088294048,7.0,4.0,54.0,100.16,90.89093088294047
43,1610612737,22100597,"JAN 09, 2022",ATL @ LAC,L,17,22,0.436,240,35,78,0.449,7,26,0.269,16,19,0.842,6,33,39,19,6,2,13,14,93,93.36,93.71999999999998,99.61439588688948,5.0,4.0,47.0,94.08,99.61439588688947
44,1610612737,22100589,"JAN 07, 2022",ATL @ LAL,L,17,21,0.447,240,43,96,0.448,13,36,0.361,19,27,0.704,13,41,54,29,3,0,15,18,118,109.88,109.62,107.38987986894794,14.0,4.0,47.0,109.36,107.38987986894794
45,1610612737,22100577,"JAN 05, 2022",ATL @ SAC,W,17,20,0.459,240,39,86,0.453,8,30,0.267,22,30,0.733,10,38,48,20,8,5,10,14,108,99.2,99.5,108.87096774193547,6.0,1.0,47.0,99.8,108.87096774193547
46,1610612737,22100560,"JAN 03, 2022",ATL @ POR,L,16,20,0.444,240,48,88,0.545,14,41,0.341,21,24,0.875,9,30,39,31,6,1,12,24,131,101.56,99.94,128.98779046868847,10.0,3.0,41.0,98.32,128.98779046868847
47,1610612737,22100533,"DEC 31, 2021",ATL @ CLE,W,16,19,0.457,240,43,97,0.443,16,38,0.421,19,21,0.905,14,30,44,23,8,4,2,23,121,94.24,94.90000000000002,128.39558573853992,1.0,8.0,46.0,95.56,128.39558573853992
48,1610612737,22100519,"DEC 29, 2021",ATL @ CHI,L,15,19,0.441,240,44,92,0.478,11,26,0.423,18,26,0.692,10,27,37,26,6,3,11,17,117,104.44,102.56,112.0260436614324,9.0,6.0,41.0,100.68,112.02604366143241
