PLAYER_ID,PLAYER_NAME
202685,Jonas Valanciunas
201142,Kevin Durant
1631121,Bryce McGowens
1630558,Davion Mitchell
203081,Damian Lillard
1629667,Jalen McDaniels
1627736,Malik Beasley
1629659,Talen Horton-Tucker
1629008,Michael Porter Jr.
1628971,Bruce Brown
1631212,Peyton Watson
203903,Jordan Clarkson
203484,Kentavious Caldwell-Pope
202330,Gordon Hayward
203476,Gorgui Dieng
203486,Mason Plumlee
203926,Doug McDermott
1628380,Zach Collins
1628966,Keita Bates-Diop
1628998,Cody Martin
1629641,Romeo Langford
203482,Kelly Olynyk
1628427,Vlatko Cancar
202397,Ish Smith
1631128,Christian Braun
201145,Jeff Green
1630192,Zeke Nnaji
1630172,Patrick Williams
1629632,Coby White
1629622,Max Strus
1629216,Gabe Vincent
1629130,Duncan Robinson
1628997,Caleb Martin
1630538,Bones Hyland
1627936,Alex Caruso
201144,Mike Conley
1631323,Simone Fontecchio
1631117,Walker Kessler
1630534,Ochai Agbaji
1630195,Leandro Bolmaro
1629638,Nickeil Alexander-Walker
1629020,Jarred Vanderbilt
1629012,Collin Sexton
1628432,Davon Reed
203473,Dewayne Dedmon
203083,Andre Drummond
201609,Goran Dragic
1628389,Bam Adebayo
1630245,Ayo Dosunmu
1629750,Javonte Green
1629639,Tyler Herro
1629312,Haywood Highsmith
202710,Jimmy Butler
202696,Nikola Vucevic
201942,DeMar DeRozan
1627745,Damian Jones
202704,Reggie Jackson
202695,Kawhi Leonard
202694,Marcus Morris Sr.
202331,Paul George
1629611,Terance Mann
201587,Nicolas Batum
202322,John Wall
203496,Robert Covington
1626181,Norman Powell
1628379,Luke Kennard
1627826,Ivica Zubac
1628960,Grayson Allen
1626171,Bobby Portis
203507,Giannis Antetokounmpo
202083,Wesley Matthews
201588,George Hill
201950,Jrue Holiday
1630194,Paul Reed
1629670,Jordan Nwora
1628975,Jevon Carter
201586,Serge Ibaka
201572,Brook Lopez
1630175,Cole Anthony
1629614,Andrew Nembhard
203925,Joe Harris
1630284,Kevon Harris
1629675,Naz Reid
203585,Rodney McGruder
1627853,Ryan Arcidiacono
1629004,Svi Mykhailiuk
1630296,Braxton Key
1630540,Miles McBride
1630579,Jericho Sims
1631205,Buddy Boeheim
1631211,Trevor Keels
1626195,Willy Hernangomez
201949,James Johnson
1630598,Aaron Wiggins
1630322,Lindy Waters III
1630201,Malachi Flynn
201577,Robin Lopez
203897,Zach LaVine
1627884,Derrick Jones Jr.
1629002,Chimezie Metu
1629599,Amir Coffey
1631099,Keegan Murray
203648,Thanasis Antetokounmpo
1626246,Boban Marjanovic
1630227,Daishen Nix
1630572,Sandro Mamukelashvili
1628416,Tyler Dorsey
1631254,Kenneth Lofton Jr.
1631246,Vince Williams Jr.
1631113,Kennedy Chandler
1630702,Jaden Hardy
1630593,McKinley Wright IV
1629033,Theo Pinson
203939,Dwight Powell
1630699,MarJon Beauchamp
1631260,AJ Green
1631309,Trevor Hudgins
1630586,Usman Garuba
1630587,Isaiah Livers
1628436,Luke Kornet
1631207,Dalen Terry
1630600,Isaiah Mobley
1630250,Marko Simonovic
1630202,Payton Pritchard
1628396,Tony Bradley
1630205,Lamar Stevens
1630233,Nathan Knight
1631111,Wendell Moore Jr.
1631119,Jaylin Williams
1629013,Landry Shamet
1630613,Duane Washington Jr.
1630554,Jason Preston
1630527,Brandon Boston Jr.
1629650,Moses Brown
1628972,Troy Brown Jr.
1629637,Jaxson Hayes
1630235,Trent Forrest
1630249,Vit Krejci
1631100,AJ Griffin
1631213,Tyrese Martin
1630531,Jaden Springer
1629003,Shake Milton
1627788,Furkan Korkmaz
1628449,Chris Boucher
1628382,Justin Jackson
1630792,Malcolm Hill
1630553,Keon Johnson
1631133,Jabari Walker
1630535,Greg Brown III
1628415,Dillon Brooks
203920,Khem Birch
1629660,Ty Jerome
201959,Taj Gibson
1630225,Isaiah Todd
1631098,Johnny Davis
1630267,Facundo Campazzo
1630692,Jordan Goodwin
1631298,Jack White
1626167,Myles Turner
2617,Udonis Haslem
1630256,Jae'Sean Tate
1631107,Nikola Jovic
1630696,Dru Smith
1631217,Moussa Diabate
1631320,Chima Moneke
1630561,David Duke Jr.
203458,Alex Len
203521,Matthew Dellavedova
1626163,Frank Kaminsky
1630695,Micah Potter
1628962,Udoka Azubuike
1630648,Jordan Schakel
1630176,Vernon Carey Jr.
1631104,Blake Wesley
1629678,Admiral Schofield
202066,Garrett Temple
1631220,Dereon Seabron
1630551,Justin Champagnie
203552,Seth Curry
1630237,Anthony Lamb
1631116,Patrick Baldwin Jr.
1629603,Mamadi Diakite
1631103,Malaki Branham
203457,Nerlens Noel
1630288,Jeff Dowtin Jr.
1631199,Ron Harper Jr.
1631230,Dominick Barlow
1629656,Quentin Grimes
203490,Otto Porter Jr.
1629646,Charles Bassey
1631160,Jordan Hall
1630557,Corey Kispert
1631219,John Butler Jr.
1630570,Trendon Watford
203471,Dennis Schroder
1629633,Jarrett Culver
1628373,Frank Ntilikina
1631120,JD Davison
202692,Alec Burks
1631288,Jamal Cain
1630163,LaMelo Ball
1628963,Marvin Bagley III
1631102,TyTy Washington Jr.
1628991,Jaren Jackson Jr.
1630688,Ish Wainright
202722,Davis Bertans
1630639,AJ Lawson
1631165,Keon Ellis
1631115,Orlando Robinson
203914,Gary Harris
1628418,Thomas Bryant
1626192,Pat Connaughton
